id,price,moonRank,💎 score (%),storeURL,Background,Base,Chest Trait 1,Chest Trait 2,Chest Trait 3,Chimney,Door,Easter Head Base,Easter Head Nose,Roof,Trait 1,Trait 2,Trait 3,Unique,Wall,Walls,Window,Windows
846,5.7,2918,47.78,https://magiceden.io/item-details/4ruQZJomxvDVMEgG6xP8ViPibdRe2orjHhuUUK8JR4BZ,Go to Shill City,Toxic Waste Barrel,,,,,Steel,,,Scrap Chimney,Glowing Window,None,,,,,,
852,4.85,2864,56.93,https://magiceden.io/item-details/4XCx5LEmi3v8DZApE3pyQndJz2PmUFBmYNi71bXknzPF,,Crushed Toxic Waste Barrel,,,,,Open,,,Roof Vent,Window,None,,,,,,
903,4.5,2926,59.68,https://magiceden.io/item-details/8TVZAMqvxaorNecLA9P6hkcevkoPRWjmnWnMdopsPVmp,Go to Shill City,Toxic Waste Barrel,,,,,Steel,,,Roof Vent,Glowing Window,None,,,,,,
907,4.2,3280,58.42,https://magiceden.io/item-details/FzSrCAC4Zr9km9ohTk9iYahnbYigZom6fqe2kZUfUSvE,,Toxic Waste Site,,,,,Steel,,,None,Glowing Light,None,,,,,,
934,6.6,3232,35,https://magiceden.io/item-details/3RcgkTTY3m7AkEDuM5T8YwdcQB2EmQxa1LeA9E2qVndn,,Crushed Toxic Waste Barrel,,,,,Steel,,,None,Glowing Window,None,,,,,,
954,13.69,2917,0,https://magiceden.io/item-details/AHwsyfoYK7LBSxWgN3bLwEMqHMeTLZBDjBoSgmG3vrK6,,Toxic Waste Site,,,,,Wooden,,,None,Glowing Window,Glowing Light,,,,,,
979,6.9,2271,43.56,https://magiceden.io/item-details/Btyy94LsR8dXQvWBiVDpLK1Sj9dxFh9DyKseDL46cekm,Go to Shill City,Toxic Waste Barrel,,,,,Open,,,Scrap Chimney,Glowing Light,Glowing Light,,,,,,
1018,5.5,2928,49.65,https://magiceden.io/item-details/6JjmxD5kmTjsUH6C3d5yHwzaSqDPtTwssboK766ZyAMZ,,Toxic Waste Barrel,,,,,Steel,,,Vent,Glowing Window,None,,,,,,
1022,4.79,3268,52.66,https://magiceden.io/item-details/5BCihMnUvdThqZH1jfZ6SQ46bRHDjHjRkoJd2E9rS5kP,,Toxic Waste Site,,,,,Wooden,,,None,Window,None,,,,,,
1031,4,2470,70.17,https://magiceden.io/item-details/GpeLiEEukY2kSDBrRspuzM32tyMxP7sp7SUPRUsJycUn,,Toxic Waste Site,,,,,Steel,,,Roof Vent,Pest,Glowing Light,,,,,,
1041,4.95,2997,54.32,https://magiceden.io/item-details/72yzAA97kqPbMnRU1as2CynEPKpE5PwZGUEvb7G8dTb,,Toxic Waste Site,,,,,Open,,,Scrap Chimney,None,Glowing Light,,,,,,
1054,7.77,2071,37.27,https://magiceden.io/item-details/BCGwAX3rZTe5kUYgwzhtMnJ4ASDLTsu5j3dwRRe1qb5m,,Toxic Waste Barrel,,,,,Open,,,Scrap Chimney,Glowing Light,Vent,,,,,,
1099,7,1194,55.53,https://magiceden.io/item-details/EvHTx5sbAwohoRLMJLenT73D9R4xXjgTzX2PZfspFdBa,,Coral Ruby,,,,Rust,Open,,,,,,,,,Blue,Blue Invader,
1101,8.2,1104,44.61,https://magiceden.io/item-details/EPdXo6UfCzjP9gGPPRq3pekyFapvXeSSPShaiQZkLjew,,Coral Emerald,,,,Rust,Pest,,,,,,,,,None,Blue Invader,
1105,6,1473,62.17,https://magiceden.io/item-details/B2X2S2DQumaEc7WHSEsaBAjNPLgffSzBvcPgYPPVojMf,,Coral Shroom Top,,,,Scrap,Steel,,,,,,,,,None,Blue Invader,
1146,21,880,0,https://magiceden.io/item-details/D1vTb1rGX134Ta4onuT5Vxb2Tc9UK8gXQL3eLe2UN7Gq,,Coral Amethyst,,,,Rust,Red,,,,,,,,,Purple,Blue Invader,
1147,5.6,906,72.99,https://magiceden.io/item-details/BmWqmxucsBgGU6d8EwW6gpvcCZdhHnB2ceQeHuhKs31u,,Coral Emerald,,,,None,Open,,,,,,,,,None,Red Window,
1176,6.7,952,61.44,https://magiceden.io/item-details/9dQpVJny9TBodv9XaMG9V8Rv4HZuMzQXb6gbafMwz9e,,Coral Stacked Rocks,,,,None,Wood,,,,,,,,,Blue,Red Window,
1189,8.8,1166,37.86,https://magiceden.io/item-details/G6aofcdHbDTbpozwBnNdYL5TyQmLthN127BimCaQEm4e,,Coral Bare,,,,Rust,Open,,,,,,,,,Purple,Red Invader,
1192,6.2,1081,64.89,https://magiceden.io/item-details/CWfXmCWcqRbrL1pUAcqALcXUNYCLbEyhfsDUFzd6tjjU,,Coral Bare,,,,Steel,Red,,,,,,,,,None,Yellow Window,
1195,6.5,823,64.99,https://magiceden.io/item-details/8Kn4rbBUWE9ghsZdqwyuZG3TiAwVkzcHwi3PSY3YjNeq,,Coral Emerald,,,,Scrap,Red,,,,,,,,,Purple,Yellow Window,
1256,7.77,1277,46.83,https://magiceden.io/item-details/BrCpdK6GqceD3zoHjx6aEzMHKoD1ttTDXuLCQ5mkdtaR,,Coral Bare,,,,Rust,Pest,,,,,,,,,Purple,Yellow Window,
1335,6.7,1729,52.09,https://magiceden.io/item-details/FBpqiUFeV1HrFJF4v79c5pZkdiqepAtUfTpxeDZjSrYz,,Coral Shroom Top,,,,Steel,Pest,,,,,,,,,Blue,Blue Invader,
1413,6.59,895,63.23,https://magiceden.io/item-details/Abs8aeNdZBDAu9YZUJszLCB9wwVbKTwkGLjYPHYPbAfk,,Coral Amethyst,,,,Steel,Red,,,,,,,,,None,Red Window,
1414,6.25,924,66.28,https://magiceden.io/item-details/5ptnNVdFLFxvxL8b2QjYymCQr3AKLRiCYeuCtZ9YmHyr,,Coral Bare,,,,Scrap,Red,,,,,,,,,Red,Red Window,
1447,40,35,0,https://magiceden.io/item-details/3H4yEaZbx4nu7LCqrNUPVRHy4hHYproLaTv1wRbLrb86,,,,,,,Decorated Door,Slate Head,Slate Thick,,,,,,None,,,Green
1455,5,398,85.11,https://magiceden.io/item-details/88BvAkuypqXBjCt1nxoV6iY8EyyqGptZvjRJWhjaTZ1Z,,,,,,,Pest,Slate Head,Ruby,,,,,,Purple,,,Red
1469,15.6969,139,0,https://magiceden.io/item-details/2oigdZKredz4YPLdipHNEd2hW6GANG6Nmi8v1C9nPqtZ,The Back Wall,,,,,,Open Red Door,Crested Jade,Topaz,,,,,,None,,,Purple
1474,12.3,101,15.68,https://magiceden.io/item-details/8DS8EtUrwwRGYHTpPEvuFbyn9uSVAcPkwXWA9fBLuh2f,,,,,,,Open Blue Door,Volcanic Head,Volcanic,,,,,,Blue,,,Purple
1475,8,126,58.38,https://magiceden.io/item-details/EHTbSrQ8YbDy6LxDGviBtyHqR63hzEEvFsM2QFYKnbhh,,,,,,,Open Red Door,Volcanic Head,Jade,,,,,,Blue,,,Green
1480,14,175,0,https://magiceden.io/item-details/BnLxbj3HzwgPb8KUQ8doNpwaF4fLstLANK2theceJHDT,The Back Wall,,,,,,Decorated Door,Crested Jade,Topaz,,,,,,None,,,Red
1482,6,84,78.89,https://magiceden.io/item-details/APRvkDjAFdVfZp2w2W6uvCYziCrQnomDYa7uahKKkYbM,,,,,,,Decorated Door,Volcanic Head,Slate Thick,,,,,,Red,,,Red
1488,29,11,0,https://magiceden.io/item-details/EpYiAvUxbVPg4bCTceyVyx1Lsqe2qX5zmbBw6N5NKqi8,The Back Wall,,,,,,Open Blue Door,Jade Head,None,,,,,,None,,,Purple
1496,8.5,49,54.31,https://magiceden.io/item-details/EY1WVqtvekhVzgUTZPvwgXwNhrnNHiunqnf77i2k4Nr3,,,,,,,Open Blue Door,Crested Slate Head,Topaz,,,,,,Blue,,,Green
1512,8.5,362,50.54,https://magiceden.io/item-details/H42c3UAkohHv6vtBPvvMWGvLrXasggzY8yJiE5SGp7jh,,,,,,,Pest,Volcanic Head,Slate,,,,,,Blue,,,Green
1520,7,125,68.4,https://magiceden.io/item-details/6dtjgaP1z4CgknYqv274UJXyPitctWK3PxUg4T6wVv9i,,,,,,,Open Blue Door,Volcanic Head,Volcanic,,,,,,Purple,,,Purple
1529,14.2069,184,0,https://magiceden.io/item-details/8gGKfykHE5wNouUTR7xz2ssUr9q31Mx4wJps8knqPyvE,The Back Wall,,,,,,Decorated Door,Crested Slate Head,Slate,,,,,,Blue,,,Purple
1531,7.5,260,61.77,https://magiceden.io/item-details/BqP7cker3ew8CRpqj8bkF9QHbVKDmQa8mvd4E4vUcBa5,,,,,,,Red Door,Crested Volcanic Head,Jade Thick,,,,,,Red,,,Green
1535,9.99,214,37.42,https://magiceden.io/item-details/9EbCeBTCBk8AvFd8nFghBhAfudbmH8Gm5bHTABUHgSBN,The Back Wall,,,,,,Open Blue Door,Crested Volcanic Head,Slate,,,,,,Purple,,,Red
1573,9.75,424,37.3,https://magiceden.io/item-details/E2EU5aYoqCsftBJNFmhLaYWqUA2DrECP43bQ58UL7StY,,,,,,,Pest,Crested Slate Head,Jade Thick,,,,,,Blue,,,Purple
1582,9.5,229,42.14,https://magiceden.io/item-details/CFKfHbgGsS77WYN1M2cg1f5LTZ6QnPqQpRaXoWtHqGah,The Back Wall,,,,,,Red Door,Slate Head,Ruby,,,,,,Blue,,,Red
1609,80,2,0,https://magiceden.io/item-details/3Y1frooxwjCb9uZByqJAicKNj5v9GVpXTzTGNuJmU4j9,,,,,,,Open Red Door,Crested Volcanic Head,Emerald,,,,,,Red,,,Purple
1619,25,81,0,https://magiceden.io/item-details/3r77ESbVZGwE2VjbSS4UpFCdAwom8W6VTwCEry2m9VbS,The Back Wall,,,,,,Red Door,Crested Jade,None,,,,,,Red,,,Red
1636,5,370,85.45,https://magiceden.io/item-details/9pXDJ317xhUnraujF6hhfggKubSvbkhKiajjwEy7mXkr,,,,,,,Pest,Crested Volcanic Head,Volcanic Thick,,,,,,None,,,Red
1647,49,24,0,https://magiceden.io/item-details/4BghdmHUeFYjsYmUwsTqaLsohDQY9uZDZrry7nm8CuAg,,,,,,,Open Red Door,Jade Head,Topaz,,,,,,None,,,Green
1671,7.45,63,64.64,https://magiceden.io/item-details/8CUwtTooVU6j846mpYv3H3CveDS8PaWCJuYbohtoyjVn,,,,,,,Red Door,Crested Slate Head,Slate Thick,,,,,,Red,,,Purple
1699,6,60,79.18,https://magiceden.io/item-details/9uM6ywADDwTgyHFwFEpKaEUY9Nr9c5PttLNqsR3Ht4Wj,,,,,,,Decorated Door,Crested Slate Head,Slate Thick,,,,,,Blue,,,Purple
1705,7,369,65.46,https://magiceden.io/item-details/EFSEe66B6QrbJNPNVxnkZHxSu1FZYSsoz22FKAFFYjPk,,,,,,,Pest,Crested Jade,Volcanic Thick,,,,,,None,,,Green
1712,8.9,55,50.24,https://magiceden.io/item-details/82TXz6U8EcpdGv4ZdYKZCbZYMsTJ6ZnZpRhDMMtbJ5wJ,,,,,,,Open Blue Door,Jade Head,Ruby,,,,,,None,,,Purple
1720,4.6,95,92.76,https://magiceden.io/item-details/EHbkk1vr5ZToZ1eYHXcFoXPzuq8HdR4DUsETQGCJ32PL,,,,,,,Open Blue Door,Jade Head,Ruby,,,,,,Blue,,,Red
1721,6.5,128,73.36,https://magiceden.io/item-details/75kTchzVBaAjSNkUMQyifQr2RvwZc9bwtzeUvmYvcPxk,,,,,,,Open Blue Door,Crested Jade,Jade,,,,,,Purple,,,Purple
1725,9.99,41,39.51,https://magiceden.io/item-details/3GeWgYKAoGWNsTe325gW7XDQhTpn5TbEE4gP7Jhxi9PT,,,,,,,Open Red Door,Crested Jade,None,,,,,,Blue,,,Purple
1730,50,4,0,https://magiceden.io/item-details/3j2KwpFQ3UHEuPZeZKRjRihJLFyk1gUD483zVo2RDzKD,,,,,,,Open Blue Door,Jade Head,None,,,,,,Red,,,Green
1743,9.5,234,42.08,https://magiceden.io/item-details/2N427nSf3zmaQkYWX9iXaPGdfZsu2Yq9R6qx1qv1bu9a,,,,,,,Open Red Door,Volcanic Head,Volcanic Thick,,,,,,Purple,,,Red
1747,10,138,38.24,https://magiceden.io/item-details/5DBwEePgEFaRE48zfJXyfYhFfDEotK5TMgPXney1xVMa,The Back Wall,,,,,,Red Door,Volcanic Head,Topaz,,,,,,Purple,,,Green
1753,7.98,42,59.59,https://magiceden.io/item-details/74xUz81gCCgQBoixwG5ax8L3Jus2Tpi2qEvR6jkqTMnY,,,,,,,Open Blue Door,Crested Jade,None,,,,,,Blue,,,Red
1762,5.5,388,80.23,https://magiceden.io/item-details/7bDz9ttsxhvqLTjRtLLWZjHYZLFgYtdZng8fqLVsirZ6,,,,,,,Pest,Slate Head,Jade Thick,,,,,,Red,,,Purple
1779,5,1618,70.42,https://magiceden.io/item-details/DdoAftXTfkDHrGKHti2CSssa7pHMAs1SNkbAWxLuXi8w,City View,Fresh Pineapple,,,,None,Pest,,,,,,,,,Purple,Right Eye,
1784,5.5,1245,69.91,https://magiceden.io/item-details/8hieASBABPXibJirzcw1KX66cf1QEWvvy2LZDeTncmNb,,Rose Gold Crown Pineapple,,,,Steel,Wooden,,,,,,,,,Blue,Single Eye,
1785,4.5,2010,70.7,https://magiceden.io/item-details/538mWDVeGCAoVWFj61mAfJ1siGZfAaaipyX1VJ9EuhGo,,Rose Gold Crown Pineapple,,,,Steel,Steel,,,,,,,,,Red,Right Eye,
1792,15,1425,0,https://magiceden.io/item-details/CBJKvYmxuxYypSvSP6Q7T3A1C9ErWJvdS7X8qAy5jG6t,,Bare Pineapple,,,,Steel,Red,,,,,,,,,Blue,Right Eye,
1824,5.94,1332,64.47,https://magiceden.io/item-details/Ez9U5WiXYxN4YGua4HWLzhMNU88bm2tsiAmxSqpz4soA,,Rose Gold Crown Pineapple,,,,None,Pest,,,,,,,,,Blue,Right Eye,
1828,25,2308,0,https://magiceden.io/item-details/AbzXbgFDGH4m8gYDKjiUMekov6nhFScu9nVQLSRsuET9,,Bare Pineapple,,,,Steel,Steel,,,,,,,,,Red,Left Eye,
1835,5.89,1164,66.99,https://magiceden.io/item-details/GyXFGnVWsUtkaH3VUqgmcggJxtUUcD3QRbAaWcZyQizv,,Rose Gold Crown Pineapple,,,,Steel,Red,,,,,,,,,Blue,Eyes,
1839,34,1553,0,https://magiceden.io/item-details/CWCp1sgUHkFif7bFbakWwZX4yPTXDEsQRniMj7QAn1s4,,The King's Crown Pineapple,,,,Steel,Pest,,,,,,,,,Blue,Right Eye,
1864,5.38,2046,61.47,https://magiceden.io/item-details/4LRCdtif3UneyavDtewMHhXjBTCaDKm3EWFJ5bN1N434,,Rose Gold Crown Pineapple,,,,Steel,Steel,,,,,,,,,Blue,Left Eye,
1867,9,1112,36.51,https://magiceden.io/item-details/8JfpVXRK6MKu3QgkGmzePHCiNsTfccg5PBP6Sfguxmcc,,The King's Crown Pineapple,,,,Steel,Wooden,,,,,,,,,Purple,Right Eye,
1875,7.1,1697,48.47,https://magiceden.io/item-details/86TW9xJwAqzCZkPfeTXyGGpLhdGayWz4h5eXQfdFQiiW,The Back Wall,Fresh Pineapple,,,,Rust,Pest,,,,,,,,,Blue,Right Eye,
1881,4.49,1036,82.53,https://magiceden.io/item-details/4Kqe43YfkbdJM6rTyxd3bNbvoefAwzpwyzEYTt5ymSk4,,Bare Pineapple,,,,None,Wooden,,,,,,,,,None,Eyes,
1898,7,919,58.84,https://magiceden.io/item-details/Gqzobo4Hb4y237fvH8EnbxCicHVi56yXpVBXVa2k75Ew,,The King's Crown Pineapple,,,,Rust,Pest,,,,,,,,,None,Single Eye,
1902,8,2302,32.19,https://magiceden.io/item-details/DXxZs1ZH4j5Vh5jscZ2evMyMZHHF4Q9y7MNNKRBDD9gP,,Fresh Pineapple,,,,Steel,Steel,,,,,,,,,Red,Eyes,
1926,7,1175,55.76,https://magiceden.io/item-details/54nWkgx8FDj6997KKM9qxUNJ7oPrZiNqLmkAdhs7hRUo,,The King's Crown Pineapple,,,,Scrap,Wooden,,,,,,,,,Red,Left Eye,
1932,6.46,1374,58.76,https://magiceden.io/item-details/5mXRnQq7oE5Deb3C1EMAaiCHDuiCZKaqyHpJifS2NWAQ,The Back Wall,Fresh Pineapple,,,,Steel,Festive,,,,,,,,,Blue,Left Eye,
1952,6,1754,58.79,https://magiceden.io/item-details/BFrrdCvXHYLdfABBe9Rz7nW5SThCPK1pTC5f9kTvQuSr,,Bare Pineapple,,,,Scrap,Pest,,,,,,,,,Blue,Left Eye,
1973,6.5,973,63.19,https://magiceden.io/item-details/8t3vJyyXJFd2Na8KDWQuC4yTJDL3jHKSe9gTa6M6moiC,,Silver Crown Pineapple,,,,Steel,Festive,,,,,,,,,Red,Right Eye,
1981,10,1273,24.58,https://magiceden.io/item-details/9tPVxD6tgDhXWXW3QDCFmeiKQmeByQ24HMcxaH16oSV3,,Bare Pineapple,,,,Steel,Wooden,,,,,,,,,None,Single Eye,
1987,10,1626,20.33,https://magiceden.io/item-details/AdWvtF6XuGRwPmKKJPKUoKCJjkCFGb3Ey3uV79xb1jed,,The King's Crown Pineapple,,,,Steel,Steel,,,,,,,,,Purple,Single Eye,
2005,18.9,941,0,https://magiceden.io/item-details/ALQi2fWzuT3iWnjLzsRd2FYHuDvfZe82ejXWcWHviMMK,City View,Fresh Pineapple,,,,Scrap,Festive,,,,,,,,,Red,Single Eye,
2042,16,1681,0,https://magiceden.io/item-details/ESL5ineAfcNhGjvR7MtyshBXx8Po669ftS4aZKjQ8Kgp,,Bare Pineapple,,,,Steel,Wooden,,,,,,,,,Red,Right Eye,
2082,5.55,1377,67.82,https://magiceden.io/item-details/981NzDLXy45ukRfJfkgGdLErhfcqtMru61gr4DaEnEUK,Long Valley Nights,Bare Pineapple,,,,None,Pest,,,,,,,,,Purple,Single Eye,
2085,6.5,898,64.09,https://magiceden.io/item-details/C5PoTW5F89Hih1pyDitUsM5BEbLDeELD2ZnsriWCCa1e,,Silver Crown Pineapple,,,,None,Wooden,,,,,,,,,Purple,Single Eye,
2088,4.48,1931,71.86,https://magiceden.io/item-details/FhoAwEnLHHfJZqen7RyfTGtm2QkFk6SpqLBJC5EK1Rjm,City View,Bare Pineapple,,,,Scrap,Steel,,,,,,,,,Red,Eyes,
2140,6.9,1629,51.29,https://magiceden.io/item-details/536ZYbzsMB1diHcNMyRfCjPUyZFJsxMKP3RmCm8db3Wo,,Submarine Watchtower,,,,,Pest,,,Telescope,Barred Window,Drainage Pipe,Green Light,,,,,
2147,4,932,88.68,https://magiceden.io/item-details/5MZXJ9MbxKTdn1GyEMTkss39tksubn9cQUTFAs5XrqsB,,Reinforced Submarine,,,,,Fine,,,Drainage Pipe,Window,Chimney,Blue Light,,,,,
2171,4.85,1764,70.17,https://magiceden.io/item-details/5nnu7Xa9EP8xJvmEW2LCQwe48LqvptECXcLtEvkc9y5M,,Reinforced Submarine,,,,,Pest,,,Telescope,Window,Chimney,Blue Light,,,,,
2185,4.95,1743,69.42,https://magiceden.io/item-details/EEnBCBAG5uK8qVTM9hdEDnu7RRHRiAbezPRdoUYHMEiP,,Submarine,,,,,Open,,,Drainage Pipe,Window,Chimney,Blue Light,,,,,
2204,6.9,1859,48.52,https://magiceden.io/item-details/6Lxo7PeBKMp8A4RZDqq7Rvf6PdTf4hiQbgmkkgaX28wx,,Submarine Watchtower,,,,,Pest,,,Telescope,Fine,None,Green Light,,,,,
2231,9.4,566,39.09,https://magiceden.io/item-details/G2VFMUBgfG9wU6Gzjx5pskmCmqMqCvM87tzdpgeSefRV,,Submarine Watchtower,,,,,Bubble,,,Drainage Pipe,Fine,Chimney,Green Light,,,,,
2249,6.9,2704,38.35,https://magiceden.io/item-details/FgPAyb8Q7Nu4FuTx2jQpwsokn9SeAoTBoWFmS6GKZPFZ,,Reinforced Submarine,,,,,Pest,,,Telescope,None,None,Blue Light,,,,,
2255,5,2166,63.83,https://magiceden.io/item-details/HiibonktXvHPCwEHbDzC6zTSnYYEPDTXGktpoSh2mQe9,,Reinforced Submarine,,,,,Steel,,,None,Barred Window,Chimney,Red Light,,,,,
2256,20,847,0,https://magiceden.io/item-details/3U46uM2jP4Ni4GGvSo4h3fpCtKoU1pYHNjgzQHiNRwR2,Shill City Ghetto,Reinforced Submarine,,,,,Bubble,,,Drainage Pipe,Window,Chimney,Blue Light,,,,,
2266,5,1760,68.71,https://magiceden.io/item-details/3TxahqSCJkphhjpG9d3Sqk6MZy3shTUA3T2sW3xYrAnd,,Submarine Watchtower,,,,,Fine,,,None,Barred Window,Drainage Pipe,None,,,,,
