id,price,moonRank,💎 score (%),storeURL,Armor,Background,Chain,Eyes,Innate Virtue,Mouth,Over Head,Rebel,Skin,Special
268,8.5,1711,49.24,https://magiceden.io/item-details/35TmUPK7xTp4XnhvqvZLkqWJ2Jak2DXq1MEvFKeNUY65,Skeleton,Dangerous Laboratory,None,Neon Shades,Supreme Intelligence,Reptilian Tongue,Halo,,Scaly Albino,
274,19.69,1006,0,https://magiceden.io/item-details/9YZahAUkiXWWuKDEA5UE1dJPBrtu5en9Whh8nZVPy3WW,Bronze Knight,Crystalline Cave,GM,Lost Eye Patch,Unbreakable Defense,Volcano Melter,Sombrero,,Grey Marble,
285,8.7,2237,44.86,https://magiceden.io/item-details/3hLoCZ3K8RvQC9W9ueyvhYxCoLMjwuoj3pWdUDAEe1hS,Skeleton,Green,None,Purple Force,Supreme Intelligence,Monster,Elder Mushroom Colony,,Solana Energy,
287,5.2,6661,59.8,https://magiceden.io/item-details/9eY1Dfz6f4Yofrg7V2pm7iNWt86FnvSnhDNsK9UCfYQb,None,Solana,None,Cyclop,Annihilating Power,Volcano Melter,Safari Hat,,Flubber,
293,4.42,5432,73.17,https://magiceden.io/item-details/29xbvHJJvF87G4UgA9g52CYwGSuqgoKqaH41f9zy1vRJ,None,Yellow,Skull Necklace,Red Force,Supreme Intelligence,Reptilian Tongue,Safari Hat,,Muddy,
294,25,5960,0,https://magiceden.io/item-details/EgBfhhmiUmd7YfF99HLF9Mn3ZMY6gPtqnKXTR1cuVesX,None,Aquamarina,Skull Necklace,None,Supreme Intelligence,Sabertooth,Skeleton Mask,,Yellow Energy,
303,11,597,29.29,https://magiceden.io/item-details/3hcHrmvsEuyhrPEzNj6PrEzv4DtyUWLwDGcwF9SYvtXL,RG Brawl,Peach,6ix9ine Iced Out,Cyclop,Supreme Intelligence,Bubble Gum,Safari Hat,,Muddy,
327,6,6195,53.91,https://magiceden.io/item-details/6Yyow3WmrvCDopjvUKb3TnxHuAAr9t8kensqNBTGdjNt,None,Solana,None,Neon Shades,Supreme Intelligence,Volcano Melter,Solana Bucket Hat,,Lava,
328,6.5,8095,40.3,https://magiceden.io/item-details/BjxSB2Roxf4TpacbcDCfqVYit9ap3h3qzu9vg3y2BJbw,None,Dangerous Laboratory,None,None,Unbreakable Defense,Bubble Gum,Skeleton Mask,,Black Obsidian,
343,100,8325,0,https://magiceden.io/item-details/49BWG1k95Gifz19Ach14y74ECZxpU3bp3o7xDmGU13dX,None,Blue,None,Lost Eye Patch,Annihilating Power,Human Teeth,Emerald Spine,,Scaly,
363,12,827,18.25,https://magiceden.io/item-details/XEtPUbTsbgGGy7ytiGv3wKfXXDA2hf2j6dWFYHnZ2Bk,Golden Knight,Black,Tribal Necklace,Hijacked,Unbreakable Defense,Cigarette,Red Stones Mohican,,Scaly Albino,
370,12,3363,6.75,https://magiceden.io/item-details/Aousvs92jYtdAhKvi6J8rVQcY32G3QtjSsNPiDyKoMJD,Crystals Collector,Peach,None,None,Unbreakable Defense,None,Gold Bullish Helmet,,White Quartz,
383,7,1804,63.82,https://magiceden.io/item-details/3xcWkFqM8tn5osxieAPJwi25BeXgAT9G8SepZaWkNDcg,Convicted,Green,Golem Head,Green Force,Annihilating Power,Cigarette,Halo,,Lava,
396,12.5,1743,9.1,https://magiceden.io/item-details/Gg6c4Kxze2e1h4WSG9SiT2xUxFQ98bvpskLXX6zDpV7L,Solana Bulletproof Vest,Purple,None,Laser Beams,Annihilating Power,Banana,Bird Family,,White Quartz,
429,7.5,4216,47.88,https://magiceden.io/item-details/GyvxTL5HJFjCWpMfPj9wEGwZ8vKwLbcsN66VucpF8mwu,None,Endless Grove,Sherlock O'Clock,ThugLife Shades,Unbreakable Defense,Crude Ogre,Safari Hat,,Yellow Energy,
435,25,1277,0,https://magiceden.io/item-details/FWaavUafZejmmdR42xwHEiM2MiHZXLqUDY7BatTXChsQ,Inner Reactor,Enchanted Forest,None,Subatomic Goggles,Annihilating Power,Cigarette,Buccaneer Hat,,White Quartz,
452,100,4397,0,https://magiceden.io/item-details/84uVPYfw8NmhThW9xTCi6pUY24ZyNVjvhtBPQUExzLr2,None,Aquamarina,Skull Necklace,Coins,Supreme Intelligence,Pink Iced Out Grillz,Degen Hat,,Grey Marble,
473,5,6148,64.12,https://solanart.io/search/?token=2xiWxzCf2rca8nDCq52q3NDd1ZGipH6Deshz1pf1zf8B,Bronze Knight,Black,None,ThugLife Shades,Supreme Intelligence,Banana,Red Stones Mohican,,Mossy,
474,18.18,1150,0,https://magiceden.io/item-details/JpPSmeHw1ovxFRQ9J9JdXokHUuwU8LLzep6va5t5eZq,Bronze Knight,Terrifying Grotto,Silver Cuban,Cyclop,Annihilating Power,Bloodthirsty Teeth,Halo,,Muddy,
487,7.4,1585,60.81,https://magiceden.io/item-details/3A7LtntQQisc27Xid1mT9zLEY87jixAadGdzMLg2bAqy,Crystals Collector,Black,GM,White Force,Unbreakable Defense,Volcano Melter,Halo,,Base,
502,6,2922,68.75,https://magiceden.io/item-details/3M98RFvPt6E56zeVaTnfk3twApN58cbbcwc3fiMnypku,Silver Knight,Peach,None,Cyclop,Annihilating Power,Monster,Bird Family,,Scaly Albino,
509,19,7994,0,https://solanart.io/search/?token=DDgMrkbu9eKZR5v5xGApkvhCwrrhKopvx2DGkMQymwe9,None,Endless Grove,None,Cyclop,Annihilating Power,Tartar Dentures,Emerald Spine,,Black Obsidian,
528,17,2055,0,https://magiceden.io/item-details/AUmaeue95wQKFx82bHDRA4eaLDd26Yv9pbM59JT5Z3Sk,Bullet Belt,Endless Grove,None,Electric Goggles,Annihilating Power,Sparse Teeth,Red Stones Mohican,,Muddy,
534,6.1,8479,42.56,https://solanart.io/search/?token=6XapvhTiPME9vxCfo5UH8ihbPXpG7QWMGhSt1tJHCe1w,None,Grey,None,None,Unbreakable Defense,Emerald Smasher Teeth,Demon Helmet,,White Quartz,
538,6.99,3019,58.41,https://magiceden.io/item-details/EPzEbSWdQRgACE7m2p2FwhpkJsu7VkA55Qi42yjRcWSo,Golden Knight,Peach,None,Analysis,Unbreakable Defense,Sparse Teeth,None,,Purple Energy,
539,7.5,2763,54.47,https://magiceden.io/item-details/FBygkTSiZFkYFNYPjdJThEtGernpmcP9ru82j7BntWcg,Primitive Piercing,Grey,None,Purple Force,Supreme Intelligence,Pink Iced Out Grillz,Emerald Spine,,Scaly,
542,8.99,2243,41.93,https://solanart.io/search/?token=GUAbdnguzuejJHfvr9XjeufCgzSEBYtjyrUqdraZdQ6v,Convicted,Black,Silver Cuban,Cyclop,Annihilating Power,Bubble Gum,Safari Hat,,Lava,
544,96.959999,5085,0,https://solanart.io/search/?token=BvfhLcjs3vUqkCNHHTUDHF325fAjMJvPrjK4ctTwc2q1,Silver Knight,Rocky Cliff,None,None,Annihilating Power,Reptilian Tongue,Demon Helmet,,Mossy,
565,6,3597,65.69,https://magiceden.io/item-details/H5zuJ2UKraF2eWy6EigjEFiWx8rssigWBQKyeKJvrGUF,Bronze Knight,Solana,None,White Force,Unbreakable Defense,Sabertooth,Solana Bucket Hat,,Mossy,
596,34,2575,0,https://magiceden.io/item-details/4rr6fXyDg8YBRrw4FmNpZgu5MtN3EupdWYxutjzwzjU9,Inner Reactor,Grey,None,Purple Force,Annihilating Power,Bubble Gum,Arachnid Colony,,Black Obsidian,
606,10,2723,29.65,https://magiceden.io/item-details/4rcrEsteoKUsKptGHc89x1TjFhbkwoXikMUFtty8jTbS,War Belt,Purple,Tribal Necklace,Green Force,Supreme Intelligence,Crude Ogre,Red Stones Mohican,,Mossy,
607,20,2740,0,https://solanart.io/search/?token=2YnjL3KkiXvikgKVSiohjSyeP7pYSey75FKAxiKA9dDV,None,Crystalline Cave,Skull Necklace,Purple Force,Annihilating Power,Human Teeth,Halo,,Purple Energy,
617,5.3,7393,55.48,https://magiceden.io/item-details/5Ua8MvbpE4PRXXSs3ztSZWN8vpWhVDAb71EnixN2rwuh,None,Grey,None,Analysis,Unbreakable Defense,Cigarette,Emerald Spine,,Lava,
624,9.4,3476,32.24,https://magiceden.io/item-details/APYHSQKf6p7UhQ7nFUuGE2Auomxc3egMZN9YikpmpBCk,Solana Bulletproof Vest,Unexplored Mine,None,None,Unbreakable Defense,Banana,Skeleton Mask,,Red Rock,
626,6.6,6455,46.73,https://magiceden.io/item-details/GF6YaU5QPtynan6QWMXCWRBULBZX4RzApzTdXmNYN3dy,Bronze Knight,Yellow,None,Green Force,Unbreakable Defense,Cigarette,None,,White Quartz,
642,8,5333,37.82,https://magiceden.io/item-details/DLfWiU1xiz89Q7JMptVfFCyXg2hLd8gi3Q6FkJ8AgyWK,None,Black,6ix9ine Iced Out,None,Annihilating Power,Bloodthirsty Teeth,Sombrero,,Red Rock,
644,7.68,1186,59.82,https://solanart.io/search/?token=7zdZi5pFBRgrMcLzu92CouRLK6RqUryExeZ3P7Yhey37,Bronze Knight,Endless Grove,Golem Head,Coins,Annihilating Power,Volcano Melter,Sombrero,,White Quartz,
654,10,1363,35.82,https://solanart.io/search/?token=DaRTNDaBV2dimzkYDFcwEj4ax9VdEELbhZtdtPFRif75,Silver Knight,Dangerous Laboratory,Silver Cuban,Hijacked,Unbreakable Defense,Bushy Beard,Red Stones Mohican,,Mossy,
656,10,672,38.95,https://magiceden.io/item-details/8WEmHySHZBftEwniKQa5Le1zseopoJEHeMcP5Jimdcw1,Solana Bulletproof Vest,Crystalline Cave,Skull Necklace,Green Force,Annihilating Power,Sparse Teeth,Halo,,Yellow Energy,
658,9.9,1229,37.43,https://magiceden.io/item-details/6AScFUPCe2uS4PeQrBhdffihc5oY1qFN1ajrvgPMwBrG,Crystals Collector,Rocky Cliff,Tribal Necklace,Blue Force,Supreme Intelligence,Bloodthirsty Teeth,Outlaw Hat,,Emerald,
666,20,1600,0,https://magiceden.io/item-details/8f1PcRoJzdUF1qUmSG4QTheWdsZJfpeCyRD4oYWm78et,None,Enchanted Forest,Tribal Necklace,None,Annihilating Power,None,Gold Bullish Helmet,,Flubber,
682,4.2,7626,65.42,https://magiceden.io/item-details/6UfcKyP786TjnNsyEQbgFQtAqXNZPGmYq3u74VTNwEiw,None,Blue,None,Cyclop,Unbreakable Defense,Crude Ogre,Sombrero,,Emerald,
693,10,2318,31.49,https://magiceden.io/item-details/9Z1MjegS228qNXkM752hYDSTaA6QmAxWeTBWHcSTLVbj,None,Blue,Skull Necklace,Red Force,Annihilating Power,Emerald Smasher Teeth,Crown,,Flubber,
699,15,5439,0,https://magiceden.io/item-details/J3w2vrPXVEBbCPv1QDcLDPkay3smjJJd7wJTfbHZ3ybD,None,Peach,GM,Lost Eye Patch,Unbreakable Defense,Tartar Dentures,Sombrero,,White Quartz,
720,6.55,3584,60.25,https://magiceden.io/item-details/CENPM7pe5WQLCxqCwwnvYcZDy1bLucDWJVWCgnLCRZiU,None,Peach,Tribal Necklace,Analysis,Unbreakable Defense,Emerald Smasher Teeth,Elder Mushroom Colony,,White Quartz,
721,10,4037,23.7,https://magiceden.io/item-details/2Qf5AFrM8niD74sz1xfdPnHP8t8wNzNQP2CRxRiNe8QG,RG Brawl,Yellow,None,White Force,Annihilating Power,Cigarette,Elder Mushroom Colony,,Base,
723,10,3535,25.97,https://magiceden.io/item-details/6Bg9kvNaDp75sTuNnzsZkSpW6mmNLjPWPtowGy9YQpPh,Cyborg,Blue,None,Purple Force,Unbreakable Defense,Sparse Teeth,Buccaneer Hat,,Flubber,
731,23.5,455,0,https://magiceden.io/item-details/6vJE6sTNWbVNhbCF2qgCtq6A3Bwq1emAByqMfCo2Dp6W,Crystals Collector,Raging Volcano,Tribal Necklace,None,Supreme Intelligence,None,Ice Beast Mask,,White Quartz,
742,6,2636,70.05,https://magiceden.io/item-details/9EcFQfTmXQPU88MNcEJPCj38NevvrentW3XM8xsfeK3B,War Belt,Solana,None,ThugLife Shades,Unbreakable Defense,Banana,Solana Bucket Hat,,Grey Marble,
765,8.95,4100,33.91,https://magiceden.io/item-details/8g5efsPn2Vz1LdWmQYbGRfWjAWBMhXCUUX87R8sTHV2D,Skeleton,Black,None,3D Glasses,Supreme Intelligence,Banana,Blue Crystal,,Glacial Ice,
767,5,5685,66.22,https://magiceden.io/item-details/6859KYL6CnVL7XaYd79A9r7sdQEDxN5pYDfJ24xRGsWr,Silver Knight,Grey,None,Cyclop,Unbreakable Defense,Sparse Teeth,Arachnid Colony,,Muddy,
768,50,3630,0,https://magiceden.io/item-details/GxQv5oRDKAyVxkb3te5EufExs4Lg5oNDisXpgDMnAgcF,None,Blue,Rainbow Cuban,Analysis,Supreme Intelligence,Bloodthirsty Teeth,None,,Black Obsidian,
779,16,1191,0,https://magiceden.io/item-details/6EwSVNkKpJ7AEgxogaqD8R6H1PLz779jbmGjRYdR5QiX,Solana Bulletproof Vest,Peach,Silver Cuban,None,Unbreakable Defense,6ixn9ne Rainbow Grillz,Red Stones Mohican,,Yellow Energy,
783,5.2,3188,75.55,https://magiceden.io/item-details/39nGfajivUpGg3kC7Lwqjc3sCEWJ89mMzZEf7QNrXeBM,None,Crystalline Cave,Skull Necklace,Purple Force,Unbreakable Defense,Tartar Dentures,Halo,,Flubber,
786,800,3602,0,https://magiceden.io/item-details/ExUhT1gLNXDguGvN7u7YzKz6KYdK1mUSLWPBKQpcPnTc,None,Unexplored Mine,Silver Cuban,Subatomic Goggles,Supreme Intelligence,Crude Ogre,Outlaw Hat,,Red Rock,
787,11,1636,24.58,https://magiceden.io/item-details/7NSLC4sPKdixhBEBwYuFr6VWGcRv1PcYDRx8CpvpQJwN,War Belt,Solana,None,Cyclop,Supreme Intelligence,Reptilian Tongue,Solana Bucket Hat,,Emerald,
788,18,2773,0,https://magiceden.io/item-details/Dg8L7zfc5UZ5bHNiAotUX3ZFAfov3KbxG2RzBoGjyjhk,None,Solana,Boxing Gloves,Subatomic Goggles,Unbreakable Defense,Volcano Melter,Arachnid Colony,,Base,
790,16,8802,0,https://magiceden.io/item-details/8bgWq5BGTzkNKLQ1x1oBveuzNMicUAG3wh76zK5rfkKP,None,Aquamarina,None,Green Force,Unbreakable Defense,Sparse Teeth,Outlaw Hat,,Grey Marble,
793,59.99,6642,0,https://magiceden.io/item-details/G3hW73jzkRJYqgvy8mxkFrP1p6TYWNfh3gGV6N7gSLPt,Crystals Collector,Purple,None,Purple Force,Supreme Intelligence,Human Teeth,Emerald Spine,,White Quartz,
798,10,3361,26.76,https://magiceden.io/item-details/Gce1nL8Np7Ty2TXf3VYxbjKjNyNaW2CP6A75Zmwf6DzS,Unchained,Terrifying Grotto,None,Lost Eye Patch,Supreme Intelligence,Pink Iced Out Grillz,Bird Family,,Mossy,
808,7,2701,59.75,https://magiceden.io/item-details/HPZQ6P43SN1izmHVzoAdm7xcUxM5NyywEL7BJsumYHBb,Bronze Knight,Blue,Tribal Necklace,ThugLife Shades,Unbreakable Defense,Human Teeth,Degen Hat,,Black Obsidian,
819,9.99,1447,35.54,https://solanart.io/search/?token=EQbCdskNnSGtyDZEfiKVWChVBzrfM7DcDebxth8xKS6B,Bullet Belt,Blue,Boxing Gloves,3D Glasses,Unbreakable Defense,Sparse Teeth,Halo,,Lava,
836,10.8,3092,19.98,https://magiceden.io/item-details/G424tHovL5UprvFD5RiQYbiHrMhNLyWszrGUbBy832YB,Primitive Piercing,Black,None,Green Force,Supreme Intelligence,Rude Tongue,Outlaw Hat,,Yellow Energy,
837,35,287,0,https://magiceden.io/item-details/GDojgbSy1ob14fL3BBGzmRPuzAfsddMoUZbsPFAd7pUw,War Belt,Peach,Sherlock O'Clock,Blue Force,Supreme Intelligence,Reptilian Tongue,Solana Bucket Hat,,Rainbow,
845,28,1607,0,https://magiceden.io/item-details/Bf8hJqekntbeQs7M8EWnXHeHMD3V5k5Y8CDBFiBM8P9x,None,Dangerous Laboratory,GM,None,Unbreakable Defense,None,Gold Bullish Helmet,,Yellow Energy,
846,8.45,1512,50.64,https://solanart.io/search/?token=6Wr8SjKpwduWvqkyV1YUU4EngzB4a5k58zagBBn7noYS,Silver Knight,Aquamarina,Sherlock O'Clock,ThugLife Shades,Unbreakable Defense,Reptilian Tongue,Bird Family,,White Quartz,
864,100,528,0,https://magiceden.io/item-details/B2XHEJw4Zydzyn8JsF1tEGb9uX6aEHeBw9aMJDQT3Dv,Primitive Piercing,Blue,6ix9ine Iced Out,Coins,Annihilating Power,Sparse Teeth,Elder Mushroom Colony,,Mossy,
869,7.39,981,63.65,https://magiceden.io/item-details/BxoqGCQyMzwpLkZX15jZbpu1JqxdsaNmKmLUfP9pzWmW,Convicted,Blue,Silver Cuban,Lost Eye Patch,Annihilating Power,Pink Iced Out Grillz,Arachnid Colony,,Scaly Albino,
884,32,268,0,https://magiceden.io/item-details/GQ8tK1HPc8zjdyfP4573YhwXjBeNQ9disXuvLJexwf7t,Silver Knight,Crystalline Cave,Padlock,Neon Shades,Annihilating Power,Bubble Gum,None,,Glacial Ice,
889,788.88,5502,0,https://magiceden.io/item-details/CmtF1F2dzffYQuL566Kibj9f9sJdfLUaPqNpRhpiKcoc,Bullet Belt,Peach,None,Blue Force,Annihilating Power,Pink Iced Out Grillz,Red Stones Mohican,,Muddy,
895,12,6235,0,https://solanart.io/search/?token=DJ4bAvywoJLzZasRTxq7eiYKbeq8Lu8ZEqSbuLaDSgNv,Bullet Belt,Raging Volcano,None,None,Annihilating Power,Sparse Teeth,Demon Helmet,,Muddy,
905,6,2909,68.81,https://magiceden.io/item-details/CaMPhHmHfLWW5sMLZoHx3KenQZrExpRenFMZr84rem2s,Skeleton,Green,Silver Cuban,Green Force,Unbreakable Defense,Sparse Teeth,Safari Hat,,Mossy,
916,7.81,1866,55.44,https://magiceden.io/item-details/9K6U7zR4Pwa8ptsgguM5u1Viy9sN3DYGbWLxKnfBwhFZ,Convicted,Green,Boxing Gloves,Cyclop,Annihilating Power,Bloodthirsty Teeth,Bird Family,,Base,
917,54.99,547,0,https://magiceden.io/item-details/EqgBdfsVtN6H38H68vitND3nhY8JZfFVRwqKtZixggs,Solana Bulletproof Vest,Aquamarina,None,Laser Beams,Annihilating Power,24k Grillz,Arachnid Colony,,Base,
921,8,1861,53.56,https://magiceden.io/item-details/FYfCfUDZYLCXvoiSaJgd8ftoMFukBziNbecafhQ8CDuC,War Belt,Aquamarina,Sherlock O'Clock,3D Glasses,Annihilating Power,Crude Ogre,None,,Yellow Energy,
923,12,503,19.72,https://magiceden.io/item-details/KfjFhwj9RUJWVuzV96Fn7svnLc3kj6UvAdmRSR8JnU4,War Belt,Aquamarina,Padlock,Hijacked,Annihilating Power,Monster,Bird Family,,Base,
947,50,1451,0,https://magiceden.io/item-details/424gPm4tggb3d8ihiUEPQxt6nWaBUXEf3aXVeWFzcq7w,Skeleton,Green Pillars,None,Green Force,Supreme Intelligence,6ixn9ne Rainbow Grillz,Halo,,Flubber,
959,30,362,0,https://magiceden.io/item-details/82dA8bfcoQRPRW9rDxy3xahkChLbGYU8QaoP3MX3fahf,Cyborg,Green,Skull Necklace,Neon Shades,Annihilating Power,Crude Ogre,Outlaw Hat,,Purple Energy,
970,5.5,5316,62.9,https://magiceden.io/item-details/Cf5RzkF7yAyjqFpx1PP9ickze65znsJSoo8PhNRqQ9Fn,Bullet Belt,Crystalline Cave,None,Red Force,Annihilating Power,Human Teeth,Sombrero,,Mossy,
973,9.99,1829,33.81,https://magiceden.io/item-details/Epqh6MxasHN7kccGwS4z1CVWnP8Lkx27KrYEGzrCgtqR,None,Mount Lamaintula,Golem Head,Neon Shades,Annihilating Power,Bushy Beard,Degen Hat,,Muddy,
974,10,4108,23.37,https://magiceden.io/item-details/Bev5ktDQVgMPMnRA6teD6tjHM4dW8XArnxCC6BKn8J8M,Convicted,Unexplored Mine,None,3D Glasses,Supreme Intelligence,Volcano Melter,Halo,,Black Obsidian,
984,33,248,0,https://solanart.io/search/?token=EBqjhLe5WxHguXdBmJxrWUBwi38eE6RgNAQaySiD9car,Crystals Collector,Peach,Rainbow Cuban,Analysis,Annihilating Power,Crude Ogre,Halo,,Purple Energy,
